# name tx ty tz qx qy qz qw
frame_000000.jpg -1.181370 0.401804 3.225041 -0.132362 0.971914 -0.162004 -0.107792
frame_000015.jpg -1.180853 0.401773 3.225683 -0.132540 0.971836 -0.162433 -0.107623
frame_000030.jpg -1.181110 0.402062 3.225780 -0.132456 0.971869 -0.162344 -0.107568
frame_000045.jpg -1.204069 0.397137 3.184436 -0.132792 0.972042 -0.163156 -0.104306
frame_000060.jpg -1.284698 0.372072 3.017803 -0.132265 0.973213 -0.164041 -0.091943
frame_000075.jpg -1.280976 0.350443 2.841309 -0.132315 0.973224 -0.164179 -0.091509
frame_000090.jpg -1.260124 0.333020 2.675878 -0.132595 0.972931 -0.164585 -0.093468
frame_000105.jpg -1.233098 0.313915 2.507226 -0.132678 0.972653 -0.164336 -0.096629
frame_000120.jpg -1.195822 0.293848 2.344593 -0.133215 0.972127 -0.163840 -0.101878
frame_000135.jpg -1.152856 0.272754 2.200252 -0.133162 0.971524 -0.162763 -0.109164
frame_000150.jpg -1.119459 0.256501 2.050855 -0.133279 0.970943 -0.161735 -0.115531
frame_000165.jpg -1.106244 0.236604 1.899880 -0.133739 0.970657 -0.160973 -0.118431
frame_000180.jpg -1.117942 0.223220 1.736880 -0.133589 0.971459 -0.160458 -0.112585
frame_000195.jpg -1.161521 0.188310 1.555386 -0.133962 0.971542 -0.162987 -0.107686
frame_000210.jpg -1.189182 0.165650 1.378167 -0.132865 0.972214 -0.163689 -0.101745
frame_000225.jpg -1.197255 0.159913 1.207601 -0.133239 0.973033 -0.163426 -0.093524
frame_000240.jpg -1.193728 0.156983 1.047360 -0.134394 0.973394 -0.163306 -0.088171
frame_000255.jpg -1.208144 0.098687 0.874368 -0.132736 0.972766 -0.164723 -0.094732
frame_000270.jpg -1.174865 0.094101 0.741757 -0.133905 0.972406 -0.163180 -0.099343
frame_000285.jpg -1.151146 0.091393 0.604058 -0.134688 0.971950 -0.162026 -0.104500
frame_000300.jpg -1.107626 0.089082 0.456314 -0.136242 0.971590 -0.159932 -0.108958
frame_000315.jpg -1.069012 0.087843 0.300898 -0.137771 0.971031 -0.158488 -0.114017
frame_000330.jpg -1.083964 0.026007 0.125458 -0.134747 0.970114 -0.159453 -0.123677
frame_000345.jpg -1.070141 0.003267 -0.039757 -0.134816 0.969421 -0.159223 -0.129209
frame_000360.jpg -1.067966 -0.019901 -0.207372 -0.134737 0.968698 -0.159234 -0.134592
frame_000375.jpg -1.059534 -0.042880 -0.381117 -0.135312 0.968148 -0.159264 -0.137894
frame_000390.jpg -1.053630 -0.062545 -0.548679 -0.134773 0.968358 -0.158959 -0.137298
frame_000405.jpg -1.052268 -0.086787 -0.741980 -0.135052 0.968659 -0.159505 -0.134237
frame_000420.jpg -1.053939 -0.117257 -0.944273 -0.135264 0.968896 -0.160713 -0.130825
frame_000435.jpg -1.041188 -0.142064 -1.126360 -0.135475 0.969122 -0.162194 -0.127050
frame_000450.jpg -1.036269 -0.160027 -1.307461 -0.135040 0.969559 -0.162173 -0.124175
frame_000465.jpg -1.022902 -0.183442 -1.498190 -0.134553 0.970072 -0.162373 -0.120380
frame_000480.jpg -1.006434 -0.207701 -1.703769 -0.134507 0.970608 -0.162495 -0.115857
frame_000495.jpg -0.999111 -0.227402 -1.872065 -0.134841 0.970855 -0.161955 -0.114149
frame_000510.jpg -1.002669 -0.258404 -2.060277 -0.135024 0.970594 -0.162824 -0.114913
frame_000525.jpg -1.000668 -0.282886 -2.251258 -0.133850 0.970584 -0.162543 -0.116753
frame_000540.jpg -1.008607 -0.305684 -2.433793 -0.134235 0.970232 -0.162357 -0.119461
frame_000555.jpg -1.024734 -0.319928 -2.626418 -0.134153 0.970267 -0.161062 -0.121016
frame_000570.jpg -1.022956 -0.341886 -2.808280 -0.134909 0.970121 -0.160465 -0.122127
frame_000585.jpg -1.047294 -0.384113 -3.000929 -0.135424 0.969709 -0.161181 -0.123879
frame_000600.jpg -1.013585 -0.369763 -3.184225 -0.134668 0.970472 -0.158443 -0.122251
frame_000615.jpg -1.058347 -0.441324 -3.372222 -0.134610 0.969465 -0.161330 -0.126457
frame_000630.jpg -0.983701 -0.441534 -3.555153 -0.135092 0.970021 -0.161002 -0.122014
frame_000645.jpg -0.919403 -0.466582 -3.735955 -0.136045 0.970040 -0.162666 -0.118550
frame_000660.jpg -1.063578 -0.497125 -3.947605 -0.134313 0.969247 -0.161591 -0.128093
frame_000675.jpg -1.035846 -0.533179 -4.117082 -0.135445 0.968926 -0.163047 -0.127488
frame_000690.jpg -0.933272 -0.490689 -4.309327 -0.136266 0.970130 -0.159601 -0.121682
frame_000705.jpg -1.074034 -0.558274 -4.508319 -0.136251 0.968633 -0.160182 -0.132388
frame_000720.jpg -1.141810 -0.590754 -4.687360 -0.136660 0.967754 -0.159420 -0.139144
frame_000735.jpg -1.246176 -0.632173 -4.835587 -0.137125 0.966244 -0.159491 -0.148766
frame_000750.jpg -1.317418 -0.641392 -4.997086 -0.137385 0.965364 -0.157165 -0.156517
frame_000765.jpg -1.415800 -0.627291 -5.161269 -0.137563 0.964395 -0.153246 -0.165932
frame_000780.jpg -1.606645 -0.632705 -5.311535 -0.138236 0.961740 -0.149326 -0.183434
frame_000795.jpg -1.832407 -0.599241 -5.435718 -0.138245 0.958481 -0.142793 -0.204483
frame_000810.jpg -2.189109 -0.618591 -5.481659 -0.138551 0.951708 -0.138531 -0.236356
frame_000825.jpg -2.839552 -0.650058 -5.361087 -0.139061 0.935408 -0.130956 -0.297531
frame_001005.jpg -6.285652 -0.003361 0.927770 0.113995 -0.487345 -0.008799 0.865692
frame_001020.jpg -5.997436 0.091929 1.657304 0.102688 -0.424180 -0.022806 0.899448
frame_001035.jpg -5.564589 0.195438 2.416852 0.095527 -0.351293 -0.039923 0.930523
frame_001050.jpg -4.997253 0.301258 3.107318 0.086800 -0.274435 -0.057557 0.955949
frame_001065.jpg -4.318731 0.390743 3.677989 0.076818 -0.196288 -0.074148 0.974716
frame_001080.jpg -3.591583 0.457753 4.105672 0.067608 -0.120324 -0.089665 0.986363
frame_001095.jpg -2.907803 0.510519 4.361751 0.058333 -0.054195 -0.102470 0.991544
frame_001110.jpg -2.438793 0.533741 4.415957 0.051392 -0.011329 -0.109614 0.992580
frame_001125.jpg -2.081659 0.536689 4.368170 0.046862 0.020767 -0.115712 0.991959
frame_001140.jpg -1.855774 0.524144 4.252890 0.044384 0.040250 -0.118673 0.991124
frame_001155.jpg -1.751964 0.501592 4.093836 0.043764 0.047550 -0.120088 0.990658
frame_001170.jpg -1.782426 0.473380 3.878583 0.045627 0.039567 -0.119408 0.991007
frame_001185.jpg -1.795692 0.448355 3.671100 0.045253 0.034070 -0.117083 0.991505
frame_001200.jpg -1.727264 0.435118 3.523304 0.044122 0.039189 -0.118082 0.991249
frame_001215.jpg -1.639308 0.413738 3.385968 0.043759 0.048314 -0.119762 0.990660
frame_001230.jpg -1.557360 0.397681 3.251367 0.042556 0.056769 -0.121152 0.990095
frame_001245.jpg -1.491534 0.373782 3.080542 0.041858 0.063027 -0.121649 0.989685
frame_001260.jpg -1.437834 0.344552 2.892230 0.042180 0.068090 -0.122303 0.989256
frame_001275.jpg -1.349985 0.321415 2.702503 0.041220 0.079631 -0.124814 0.988120
frame_001290.jpg -1.321064 0.297055 2.508440 0.040623 0.081783 -0.124900 0.987958
frame_001305.jpg -1.379409 0.267218 2.269467 0.042383 0.070646 -0.123102 0.988968
frame_001320.jpg -1.446464 0.235946 2.001579 0.043408 0.057004 -0.120922 0.990073
frame_001335.jpg -1.447799 0.209172 1.783193 0.043221 0.056235 -0.120662 0.990157
frame_001350.jpg -1.389555 0.190512 1.603086 0.041668 0.065664 -0.122556 0.989410
frame_001365.jpg -1.342074 0.167343 1.398450 0.040564 0.072500 -0.123931 0.988807
frame_001380.jpg -1.301455 0.139945 1.184273 0.039373 0.077794 -0.124421 0.988391
frame_001395.jpg -1.266428 0.112225 0.997726 0.039291 0.083022 -0.125127 0.987880
frame_001410.jpg -1.239524 0.085731 0.812513 0.037915 0.087573 -0.125501 0.987493
frame_001425.jpg -1.204248 0.060444 0.632073 0.038047 0.094988 -0.126283 0.986703
frame_001440.jpg -1.183392 0.034951 0.425465 0.037437 0.100112 -0.127526 0.986059
frame_001455.jpg -1.177480 0.000448 0.168893 0.038000 0.098476 -0.126852 0.986290
frame_001470.jpg -1.173970 -0.038627 -0.113314 0.039374 0.090234 -0.125846 0.987153
frame_001485.jpg -1.172947 -0.074836 -0.419564 0.040019 0.084360 -0.124861 0.987771
frame_001500.jpg -1.168037 -0.105538 -0.645364 0.039753 0.079803 -0.124322 0.988228
frame_001515.jpg -1.159240 -0.140579 -0.872843 0.037727 0.077936 -0.124461 0.988439
frame_001530.jpg -1.150141 -0.167120 -1.117309 0.038043 0.075715 -0.124344 0.988614
frame_001545.jpg -1.116052 -0.204300 -1.352614 0.037992 0.072768 -0.123591 0.988932
frame_001560.jpg -1.135764 -0.257018 -1.628699 0.036625 0.075285 -0.124136 0.988727
frame_001575.jpg -1.157890 -0.290891 -1.826078 0.035646 0.077998 -0.125119 0.988429
frame_001590.jpg -1.179122 -0.319361 -1.970048 0.034218 0.080899 -0.126086 0.988123
frame_001605.jpg -1.133831 -0.315638 -2.065549 0.035142 0.079182 -0.125002 0.988367
frame_001620.jpg -1.160372 -0.340677 -2.238403 0.034116 0.083270 -0.126395 0.987890
frame_001635.jpg -1.144822 -0.352584 -2.471969 0.035150 0.082242 -0.125991 0.987991
frame_001650.jpg -1.107714 -0.384323 -2.637602 0.034015 0.082804 -0.126029 0.987979
frame_001665.jpg -1.155393 -0.423774 -2.812106 0.032132 0.090224 -0.127574 0.987194
frame_001680.jpg -1.194375 -0.434505 -3.009395 0.031999 0.100624 -0.129033 0.986003
frame_001695.jpg -1.234210 -0.458215 -3.170035 0.030292 0.110591 -0.131113 0.984714
frame_001710.jpg -1.290259 -0.491142 -3.324483 0.027852 0.121540 -0.132807 0.983267
frame_001725.jpg -1.378714 -0.498751 -3.478211 0.027150 0.135063 -0.134426 0.981300
frame_001740.jpg -1.430539 -0.520062 -3.640271 0.026110 0.145487 -0.136756 0.979515
frame_001755.jpg -1.494597 -0.548363 -3.790707 0.023922 0.156911 -0.137981 0.977634
frame_001770.jpg -1.662986 -0.563147 -3.893164 0.021414 0.177189 -0.140522 0.973858
frame_001785.jpg -1.798414 -0.579959 -3.986422 0.018314 0.197193 -0.143748 0.969596
frame_001800.jpg -2.089809 -0.596749 -4.010450 0.012353 0.232420 -0.149912 0.960913
frame_001815.jpg -2.400088 -0.609966 -3.995732 0.006260 0.270584 -0.155873 0.949973
frame_001830.jpg -2.781642 -0.628456 -3.926226 -0.001925 0.315630 -0.163081 0.934761
frame_001845.jpg -3.220108 -0.628513 -3.763302 -0.010880 0.368115 -0.169448 0.914145
frame_001860.jpg -3.661717 -0.644158 -3.507759 -0.021989 0.421038 -0.175788 0.889574
frame_001875.jpg -3.886258 -0.538853 -3.302888 -0.021823 0.460438 -0.179664 0.869046
frame_001890.jpg -4.308923 -0.480122 -2.856678 -0.030802 0.522691 -0.186193 0.831371
frame_001905.jpg -4.696604 -0.422108 -2.282880 -0.042514 0.587255 -0.193736 0.784723
frame_001920.jpg -4.882886 -0.351122 -1.778545 -0.050411 0.637392 -0.198193 0.742906
frame_001935.jpg -4.978613 -0.239997 -1.278357 -0.054848 0.685397 -0.202078 0.697414
frame_001950.jpg -5.098458 -0.132397 -0.596201 -0.061880 0.740627 -0.200124 0.638430
frame_001965.jpg -5.080561 -0.064766 -0.007121 -0.071756 0.783623 -0.205740 0.581771
frame_001980.jpg -4.985662 0.048028 0.597052 -0.074999 0.825033 -0.203183 0.521931
frame_001995.jpg -4.800447 0.099967 1.241885 -0.087884 0.864194 -0.203800 0.451564
frame_002010.jpg -4.562116 0.143870 1.793655 -0.100238 0.894402 -0.204129 0.385134
frame_002025.jpg -4.209263 0.223207 2.298120 -0.106587 0.920463 -0.201305 0.317590
frame_002040.jpg -3.705580 0.301055 2.817159 -0.114066 0.944522 -0.197329 0.236494
frame_002055.jpg -3.184101 0.356579 3.199357 -0.119531 0.960504 -0.191143 0.163121
frame_002070.jpg -2.649920 0.402675 3.475763 -0.124018 0.970270 -0.185435 0.093859
frame_002085.jpg -2.110152 0.436189 3.665521 -0.127160 0.975351 -0.178181 0.027798
frame_002100.jpg -1.742365 0.446491 3.699721 -0.129353 0.976166 -0.173686 -0.014179
frame_002115.jpg -1.627025 0.437246 3.596929 -0.129471 0.976224 -0.172040 -0.025034
frame_002130.jpg -1.576467 0.420556 3.435829 -0.129477 0.976104 -0.172201 -0.028354
frame_002145.jpg -1.505359 0.405867 3.297074 -0.129719 0.975923 -0.171751 -0.035331
frame_002160.jpg -1.426786 0.391779 3.176986 -0.130042 0.975741 -0.170623 -0.043664
frame_002175.jpg -1.303481 0.378111 3.043018 -0.130278 0.975220 -0.168584 -0.059597
frame_002190.jpg -1.171058 0.363178 2.926148 -0.131382 0.974233 -0.166060 -0.077669
frame_002205.jpg -1.077880 0.351490 2.807493 -0.131719 0.973283 -0.164523 -0.091117
frame_002220.jpg -1.038666 0.339431 2.683935 -0.132446 0.972651 -0.164221 -0.097162
frame_002235.jpg -1.031695 0.323343 2.550603 -0.132998 0.972435 -0.164496 -0.098098
frame_002250.jpg -1.034275 0.303762 2.389527 -0.132669 0.972583 -0.164706 -0.096714
frame_002265.jpg -1.052960 0.274521 2.192651 -0.132105 0.973113 -0.164752 -0.091958
frame_002280.jpg -1.082326 0.248715 1.999923 -0.132398 0.973568 -0.165153 -0.085798
