# name tx ty tz qx qy qz qw
frame_000000.jpg 1.268522 0.102391 0.837749 -0.002778 -0.025196 -0.010289 0.999626
frame_000005.jpg 1.266016 0.103040 0.846803 -0.002708 -0.025245 -0.010538 0.999622
frame_000010.jpg 1.262549 0.103426 0.852578 -0.002612 -0.025521 -0.010307 0.999618
frame_000015.jpg 1.266024 0.102697 0.846833 -0.002635 -0.025250 -0.010625 0.999621
frame_000020.jpg 1.262486 0.103146 0.852719 -0.002611 -0.025539 -0.010406 0.999616
frame_000025.jpg 1.263297 0.103522 0.851472 -0.002543 -0.025583 -0.010297 0.999616
frame_000030.jpg 1.268880 0.100186 0.837473 -0.002023 -0.025018 -0.010672 0.999628
frame_000035.jpg 1.266722 0.102653 0.842352 -0.000537 -0.025783 -0.008953 0.999627
frame_000040.jpg 1.276822 0.109518 0.814231 0.002349 -0.024388 -0.006197 0.999681
frame_000045.jpg 1.287852 0.109356 0.802989 0.001592 -0.025320 -0.007092 0.999653
frame_000050.jpg 1.292584 0.095890 0.753443 0.002217 -0.027728 -0.006264 0.999593
frame_000055.jpg 1.285256 0.103110 0.717507 0.003210 -0.035773 -0.004616 0.999344
frame_000060.jpg 1.262465 0.108115 0.763563 0.002545 -0.050738 -0.003160 0.998704
frame_000065.jpg 1.260223 0.108780 0.759799 0.003282 -0.052395 -0.002382 0.998618
frame_000070.jpg 1.277572 0.105506 0.738888 0.000006 -0.041298 -0.005320 0.999133
frame_000075.jpg 1.281345 0.107144 0.723879 0.001719 -0.038377 -0.003842 0.999254
frame_000080.jpg 1.298071 0.109124 0.700835 0.001410 -0.029543 -0.003744 0.999555
frame_000085.jpg 1.314647 0.099376 0.662660 0.000126 -0.014946 -0.007541 0.999860
frame_000090.jpg 1.319127 0.104023 0.652971 0.001679 -0.011151 -0.005038 0.999924
frame_000095.jpg 1.320219 0.103230 0.650888 0.001958 -0.010338 -0.005202 0.999931
frame_000100.jpg 1.318012 0.104685 0.655115 0.002600 -0.011886 -0.004344 0.999917
frame_000105.jpg 1.333497 0.106467 0.622777 0.002247 -0.001160 -0.005059 0.999984
frame_000110.jpg 1.325865 0.098414 0.553992 0.001798 0.008590 -0.006669 0.999939
frame_000115.jpg 1.334459 0.108711 0.541614 0.000862 0.000328 -0.004640 0.999989
frame_000120.jpg 1.328996 0.092023 0.478226 0.000923 -0.005712 -0.007469 0.999955
frame_000125.jpg 1.319979 0.103310 0.418790 -0.000067 -0.006932 -0.003206 0.999971
frame_000130.jpg 1.322364 0.100675 0.347866 -0.001899 -0.008670 -0.002787 0.999957
