# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 39, mean track length: 2
29 5.1593676632520067 -7.0893015947962299 29.404626282002063 165 203 220 0.25289419998053314 203 879 83 686
28 6.8972347191934107 -4.9453496037262017 35.003137619733522 33 53 54 0.28459000582169958 203 847 83 654
27 4.6438798528058411 -4.4881345922715612 32.154678681684061 62 76 71 0.61513638534277237 203 846 83 637
26 5.1823924672441155 -4.7435325626393157 31.487787951563011 201 223 220 1.5247590354709732 203 841 83 638
25 5.4801166108792456 -5.2596704882816407 31.255317563973239 194 231 236 0.73955479434243387 203 838 83 692
24 10.746655996391485 -12.568381627673 52.442027600714887 100 128 132 0.21215401206812901 203 824 83 558
23 13.584140214443789 -13.157144429651098 54.387238476908031 45 65 69 0.054212030780027495 203 821 83 565
22 3.1250569239048747 -4.4277109186563592 30.863624011953494 111 129 139 1.1441922843393026 203 759 83 622
21 5.4172198046843718 -5.4768262437671753 30.993091716008792 134 165 168 0.1292615516097558 203 744 83 632
20 5.4172198046843718 -5.4768262437671753 30.993091716008792 134 165 168 0.1292615516097558 203 743 83 631
30 3.612857326205285 -6.0541332801018655 28.942566948612878 189 224 229 1.352284035783911 203 885 83 737
1 3.4143582884547925 -6.0595772632466884 28.565730802030615 196 227 232 0.095486322240818614 203 103 83 25
31 4.9039955160019337 -4.105128528076941 32.843661387836249 61 74 67 0.34093165222291955 203 898 83 698
2 3.3436837963410055 -5.4569850775924911 29.361194565767828 209 239 243 0.75043834648206809 203 129 83 285
32 4.9703649201609572 -3.8354397996636758 33.436933803850572 114 120 111 0.59286634492249912 203 902 83 757
3 3.9915160027795222 -7.3998123979995309 28.400269665669018 185 221 231 0.014214521539990952 203 345 83 2
33 4.573782345079076 -6.5097199736869742 29.45683759091197 80 102 100 0.054574742901848064 203 926 83 740
4 3.9131471153353776 -7.2315573768350232 28.478819717432916 58 83 88 0.42214451589345559 203 348 83 4
34 3.7575840424781664 -5.4830032866975653 29.412829937296308 82 110 112 0.49247319236663867 203 976 83 812
5 3.9131471153353776 -7.2315573768350232 28.478819717432916 58 83 88 0.42214451589345559 203 349 83 5
35 5.8762678364513832 -6.4828118621382309 30.813429359150653 156 191 197 1.0679505539492784 203 997 83 796
6 4.5206579525199917 -7.056763193802138 29.902663481391407 83 105 108 0.045394880026738346 203 359 83 39
36 5.5399001686591216 -5.8526909709724819 31.067071938600765 188 226 231 0.50737192158223632 203 999 83 813
7 4.4231533286405638 -6.9838059226708937 29.57832652693083 83 105 108 0.21428721531718856 203 360 83 32
11 3.604293856600532 -9.0855844745018057 40.050291876382829 79 122 140 0.13497240755584103 203 510 83 609
37 4.774649412782904 -5.6582933342592572 30.540402519449536 46 65 61 0.08653504928484633 203 1000 83 829
8 5.6316887058071909 -6.0316695480390008 30.52282609141918 59 96 100 0.30592589055873881 203 386 83 306
12 3.2998793483750988 -5.5268326822424427 29.29312961220716 98 117 123 0.80251161308818686 203 528 83 615
38 6.3956127400189677 -5.9073220104755242 32.056046281213561 69 94 97 0.78536161208650279 203 1001 83 814
9 4.4452324678432529 -5.4222088445879226 30.395932493092587 47 67 65 0.6439785391129289 203 400 83 302
13 4.4034050229556145 -5.2164324910340749 30.695709672219298 96 99 100 0.52130491570604265 203 542 83 478
39 5.0452355262724051 -6.6096896685370785 29.711066587281124 66 81 76 1.2274577554308967 203 1011 83 828
10 5.3602865187252222 -4.9927430086332647 31.669213453956033 146 172 171 0.22261122795627833 203 420 83 323
14 6.4922687788310762 -5.5134801111234637 33.038122306202098 100 118 123 0.81089760977086178 203 544 83 113
15 4.8770952730941621 -4.2006741129945944 32.545006011581215 63 72 67 0.36967140560925849 203 568 83 332
16 5.2130108052882962 -3.7098514060275578 34.169525984328956 111 116 109 0.76495103877527937 203 676 83 578
17 10.483508810738941 -12.794050741187704 51.831325653754369 178 214 229 0.085368096027075263 203 724 83 482
18 4.0820254213903437 -7.3333418255828127 28.438655163078458 185 218 229 0.087219651893476663 203 725 83 533
19 3.4174723280548189 -5.2509537685196737 29.644693065857439 221 253 252 0.40187441058356904 203 741 83 687
